标题,创建时间,播放量,评论数,弹幕数,收藏量,长度,作者,回顾,类型,图片,子标题,描述,详细信息id,当前id,版权,不可点击,
影视制作教程之C4D三维软件基础入门精品教程,2018-08-08 16:02:42,486,5,0,113,84:07,黑马程序员-,0,39,//i2.hdslb.com/bfs/archive/30c64f1d706e6fc5daf3e2d5a9f6784e734e1230.jpg,,当下正是影视的黄金时代，影视优质内容丰富多彩，影视应用场景无限广泛，影视更新需求日新月异，掌握剪辑软件的应用，顺应时代风潮，使你华丽转身，走向拥有无限可能的未来。 本课程用通俗易懂的教学方式，传授影视三维制作C4D专业知识，小白直通大神无障碍学习，课程精细拆分，递进教学，来不及解释了，赶紧上车。 现有内容涵盖 C4D三维软件入门——三维软件C4D初探秘 利用参数物体进行场景搭建——带你走进奇幻的三维空间 灯光和材质——教会你用画笔给世界上色，制作绚丽多彩的世界,28834788,37974444,,False,
影视制作教程之C4D三维软件基础入门精品教程,2018-08-08 16:02:42,486,5,0,113,84:07,黑马程序员-,0,39,//i2.hdslb.com/bfs/archive/30c64f1d706e6fc5daf3e2d5a9f6784e734e1230.jpg,,当下正是影视的黄金时代，影视优质内容丰富多彩，影视应用场景无限广泛，影视更新需求日新月异，掌握剪辑软件的应用，顺应时代风潮，使你华丽转身，走向拥有无限可能的未来。 本课程用通俗易懂的教学方式，传授影视三维制作C4D专业知识，小白直通大神无障碍学习，课程精细拆分，递进教学，来不及解释了，赶紧上车。 现有内容涵盖 C4D三维软件入门——三维软件C4D初探秘 利用参数物体进行场景搭建——带你走进奇幻的三维空间 灯光和材质——教会你用画笔给世界上色，制作绚丽多彩的世界,28834788,37974444,,False,
